ID,Segment type,Segment Description,Answer,Count,Percentage,It became a relationship
292890.897,web,"Meridian, Idaho",No,0.0,0.0,0
292887.98699999996,web,"Meridian, Idaho",No,0.0,0.0,0
292894.0656,gender,"Meridian, Idaho",No,499.17360599999995,0.225254764,0
292887.118,web,"Meridian, Idaho",No,0.0,0.0,0
292893.6561,gender,"Meridian, Idaho",No,455.92596299999997,0.211359792,0
292896.2932,gender,"Meridian, Idaho",No,1091.176696,0.519163319,0
292889.6679,web,"Meridian, Idaho",No,0.0,0.0,0
293223.0,university,University of Iowa,Yes,1.0,0.33299999999999996,0
292881.1384,mobile,"Meridian, Idaho",No,878.0804632999999,0.22803111,0
292889.6084,web,"Meridian, Idaho",No,0.0,0.0,0
292890.3917,web,"Meridian, Idaho",No,0.0,0.0,0
292901.5235,gender,"Meridian, Idaho",No,445.4963738,0.271811915,0
292892.2684,gender,"Meridian, Idaho",No,1118.156938,0.43451231799999995,0
292887.4288,web,"Meridian, Idaho",No,0.0,0.0,0
292897.9815,gender,"Meridian, Idaho",No,985.6569693,0.507626495,0
292884.2696,mobile,"Meridian, Idaho",No,1411.0228220000001,0.366268718,0
292902.2716,gender,"Meridian, Idaho",No,523.0411783,0.30820162100000004,0
292889.3406,web,"Meridian, Idaho",No,0.0,0.0,0
293009.0,university,University of Wisconsin-Madison,No,71.0,0.563,0
292943.0117,university,"University of California, Davis",Yes,8.497077758,0.19354454899999998,1
292887.016,web,"Meridian, Idaho",No,0.0,0.0,0
293099.0,university,"University of California, San Diego",No,0.0,0.0,0
292882.5488,mobile,"Meridian, Idaho",No,796.7761546,0.22849417100000002,1
292883.4428,mobile,"Meridian, Idaho",No,1774.3925239999999,0.46052161,0
292897.8191,gender,"Meridian, Idaho",No,566.0816207,0.266645332,0
292899.4996,gender,"Meridian, Idaho",No,549.8374428999999,0.282329365,0
292890.8158,web,"Meridian, Idaho",No,0.0,0.0,0
292896.9177,gender,"Meridian, Idaho",No,489.23807,0.25296098100000003,0
292889.5282,web,"Meridian, Idaho",No,0.0,0.0,0
292899.5747,mobile,"Meridian, Idaho",No,823.6773447,0.466830299,1
293163.0,university,Cal Poly San Luis Obispo,Yes,8.0,0.32,0
293019.1113,university,Wesleyan University,I don't use Tinder,26.12029246,0.27989769600000003,1
292900.0206,gender,"Meridian, Idaho",No,544.8012092,0.28719193600000004,0
293655.4053,university,University of Delaware,No,4.900332843999999,0.5,1
292887.1403,web,"Meridian, Idaho",No,0.0,0.0,0
293575.0,university,Ohio University,I don't use Tinder,0.0,0.0,0
292902.8277,gender,"Meridian, Idaho",No,507.7741982,0.309961158,0
293272.2777,university,"University of California, Santa Cruz",Yes,4.36114724,0.323161887,1
292902.0408,gender,"Meridian, Idaho",No,525.2722908,0.30604744300000003,0
292886.4858,mobile,"Meridian, Idaho",No,796.2071312,0.283133154,1
293045.0,university,University of Colorado Boulder,No,3.0,0.5,0
292900.8929,gender,"Meridian, Idaho",No,415.38514869999995,0.25336681899999997,0
292890.6365,web,"Meridian, Idaho",No,0.0,0.0,0
293413.0,university,Rochester Institute of Technology,I don't use Tinder,0.0,0.0,1
292888.1764,mobile,"Meridian, Idaho",No,795.9627904,0.306595346,1
293661.0,university,Morehead State University,Yes,0.0,0.0,0
292900.2625,gender,"Meridian, Idaho",No,755.8871411,0.444965328,0
293337.0,university,University of Georgia,Yes,1.0,0.091,0
292893.6373,gender,"Meridian, Idaho",No,1145.138425,0.48136026,0
292893.5329,mobile,"Meridian, Idaho",No,934.0782406999999,0.39062563,1
292887.9146,web,"Meridian, Idaho",No,0.0,0.0,0
292985.0,university,Southern Methodist University,No,4.0,0.444,1
292889.6677,web,"Meridian, Idaho",No,0.0,0.0,0
293051.7644,university,University of Miami,I don't use Tinder,1.5920507309999998,0.97997324,1
292890.9328,web,"Meridian, Idaho",No,0.0,0.0,0
292898.309,mobile,"Meridian, Idaho",No,794.4983225999999,0.44721704,1
292901.2682,gender,"Meridian, Idaho",No,508.3802654,0.29733607,0
293259.0,university,University of Arizona,Yes,4.0,0.364,0
292897.3746,gender,"Meridian, Idaho",No,594.8830073,0.280351236,0
292897.601,gender,"Meridian, Idaho",No,359.2765414,0.20149760600000002,0
292884.2985,mobile,"Meridian, Idaho",No,1038.615984,0.26967172300000003,1
292898.2679,gender,"Meridian, Idaho",No,967.757241,0.505669458,0
293473.0,university,Sacred Heart University,I don't use Tinder,0.0,0.0,1
292888.2004,web,"Meridian, Idaho",No,0.0,0.0,0
293219.0,university,Northern Illinois University,No,1.0,0.5,0
292889.4867,web,"Meridian, Idaho",No,0.0,0.0,0
292893.2992,gender,"Meridian, Idaho",No,473.3165635,0.21605203399999998,0
292899.5927,gender,"Meridian, Idaho",No,501.00778610000003,0.280245322,0
293175.5149,university,Yale University,I don't use Tinder,1.187603295,0.017464754,1
292884.8442,mobile,"Meridian, Idaho",No,1158.464025,0.30075858699999997,0
